První účast na KVIFF	Země	Latitude	Longitude	Production country appearances	Filmů celkem	Filmů celkem k danému roku	Podíl koprodukcí	Koprodukce s Českem	Kontinent	První účast na KVIFF	Zatím poslední účast na KVIFF	Nejvýraznější rok	Top koprodukční partneři	Ukázkové filmy	DetailKey	Metric
07.01.2004	Algeria	28	1.7	1	3	1	100 %	0	Afrika	2004	2019	2019 (2)	France (2); Belgium (1); Qatar (1); Egypt (1)	2019: Papicha; 2019: Return of the Prodigal Son; 2004: Viva Algeria	Algeria	Production country appearances in KVIFF catalogue
07.01.2019	Algeria	28	1.7	2	3	3	100 %	0	Afrika	2004	2019	2019 (2)	France (2); Belgium (1); Qatar (1); Egypt (1)	2019: Papicha; 2019: Return of the Prodigal Son; 2004: Viva Algeria	Algeria	Production country appearances in KVIFF catalogue
07.01.2005	Angola	-11.2	17.9	1	1	1	100 %	0	Afrika	2005	2005	2005 (1)	Portugal (1); France (1)	2005: Hero	Angola	Production country appearances in KVIFF catalogue
07.01.2007	Burkina Faso	12.2	-1.6	1	1	1	100 %	0	Afrika	2007	2007	2007 (1)	Canada (1); France (1)	2007: Dreams of Dust	Burkina Faso	Production country appearances in KVIFF catalogue
07.01.2023	Democratic Republic of the Congo	-4	21.8	1	1	1	100 %	0	Afrika	2023	2023	2023 (1)	Belgium (1); Netherlands (1); France (1); South Africa (1)	2023: Omen	Democratic Republic of the Congo	Production country appearances in KVIFF catalogue
07.01.2000	Egypt	26.8	30.8	1	19	1	52.6 %	0	Afrika	2000	2023	2019 (11)	France (6); Germany (3); Netherlands (2); Qatar (2); Saudi Arabia (2); Iraq (1); United Kingdom (1); Palestine (1)	2023: Goodbye Julia; 2023: Mother of All Lies; 2021: Feathers; 2019: Dawn of a New Day; 2019: Return of the Prodigal Son	Egypt	Production country appearances in KVIFF catalogue
07.01.2010	Egypt	26.8	30.8	1	19	2	52.6 %	0	Afrika	2000	2023	2019 (11)	France (6); Germany (3); Netherlands (2); Qatar (2); Saudi Arabia (2); Iraq (1); United Kingdom (1); Palestine (1)	2023: Goodbye Julia; 2023: Mother of All Lies; 2021: Feathers; 2019: Dawn of a New Day; 2019: Return of the Prodigal Son	Egypt	Production country appearances in KVIFF catalogue
07.01.2016	Egypt	26.8	30.8	1	19	3	52.6 %	0	Afrika	2000	2023	2019 (11)	France (6); Germany (3); Netherlands (2); Qatar (2); Saudi Arabia (2); Iraq (1); United Kingdom (1); Palestine (1)	2023: Goodbye Julia; 2023: Mother of All Lies; 2021: Feathers; 2019: Dawn of a New Day; 2019: Return of the Prodigal Son	Egypt	Production country appearances in KVIFF catalogue
07.01.2018	Egypt	26.8	30.8	2	19	5	52.6 %	0	Afrika	2000	2023	2019 (11)	France (6); Germany (3); Netherlands (2); Qatar (2); Saudi Arabia (2); Iraq (1); United Kingdom (1); Palestine (1)	2023: Goodbye Julia; 2023: Mother of All Lies; 2021: Feathers; 2019: Dawn of a New Day; 2019: Return of the Prodigal Son	Egypt	Production country appearances in KVIFF catalogue
07.01.2019	Egypt	26.8	30.8	11	19	16	52.6 %	0	Afrika	2000	2023	2019 (11)	France (6); Germany (3); Netherlands (2); Qatar (2); Saudi Arabia (2); Iraq (1); United Kingdom (1); Palestine (1)	2023: Goodbye Julia; 2023: Mother of All Lies; 2021: Feathers; 2019: Dawn of a New Day; 2019: Return of the Prodigal Son	Egypt	Production country appearances in KVIFF catalogue
07.01.2021	Egypt	26.8	30.8	1	19	17	52.6 %	0	Afrika	2000	2023	2019 (11)	France (6); Germany (3); Netherlands (2); Qatar (2); Saudi Arabia (2); Iraq (1); United Kingdom (1); Palestine (1)	2023: Goodbye Julia; 2023: Mother of All Lies; 2021: Feathers; 2019: Dawn of a New Day; 2019: Return of the Prodigal Son	Egypt	Production country appearances in KVIFF catalogue
07.01.2023	Egypt	26.8	30.8	2	19	19	52.6 %	0	Afrika	2000	2023	2019 (11)	France (6); Germany (3); Netherlands (2); Qatar (2); Saudi Arabia (2); Iraq (1); United Kingdom (1); Palestine (1)	2023: Goodbye Julia; 2023: Mother of All Lies; 2021: Feathers; 2019: Dawn of a New Day; 2019: Return of the Prodigal Son	Egypt	Production country appearances in KVIFF catalogue
07.01.2009	Ethiopia	9.1	40.5	1	2	1	100 %	0	Afrika	2009	2015	2015 (1)	Germany (2); France (2); Norway (1)	2015: Lamb; 2009: Teza	Ethiopia	Production country appearances in KVIFF catalogue
